Titulo_libro	Autor	Subtitulo_libro	Cantidad ejemplares	Edicion	Año_publicacion	biblioitemnumber
Titulo_libro: El presupuesto del sector público.	Autor: Caplan, Benedicto	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1979.	biblioitemnumber: 61
Titulo_libro: En camino a la democracia politica : 	Autor: Cardenas, Eduardo	Subtitulo_libro: 1904-1910.	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1980.	biblioitemnumber: 62
Titulo_libro: Sociedades anónimas.	Autor: Garo, Francisco J	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1954.	biblioitemnumber: 63
Titulo_libro: Sociedades anónimas.	Autor: Garo, Francisco J	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1954.	biblioitemnumber: 64
Titulo_libro: La santa federación : 	Autor: Carretero, Andrés M.	Subtitulo_libro: 1840-1850.	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1979.	biblioitemnumber: 65
Titulo_libro: Orden, paz, entrega : 	Autor: Carretero, Andrés M.	Subtitulo_libro: 1880-1886.	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1977.	biblioitemnumber: 66
Titulo_libro: Leyes impositivas actualizadas.	Autor: Castro, Juan Pedro	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1967.	biblioitemnumber: 67
Titulo_libro: Leyes impositivas actualizadas : 	Autor: Castro, Juan Pedro	Subtitulo_libro: suplemento de actualización.	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1987.	biblioitemnumber: 68
Titulo_libro: Evolución del impuesto a los réditos : 	Autor: Castro, Juan Pedro	Subtitulo_libro: periódo 1956-1968	Cantidad ejemplares: 3	Edicion: 2da.ed.	Año_publicacion: 1969	biblioitemnumber: 69
Titulo_libro: Evolución del impuesto de los réditos : 	Autor: Castro, Juan Pedro	Subtitulo_libro: período 1956-1969	Cantidad ejemplares: 3	Edicion: 2da.ed.	Año_publicacion: 1969.	biblioitemnumber: 70
Titulo_libro: Ensayos sobre monetización e inflación.	Autor: Cena, Juan Carlos	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1983.	biblioitemnumber: 71
Titulo_libro: Evolución económica de Mendoza en la época colonial.	Autor: Coria, Luis Alberto	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1988.	biblioitemnumber: 72
Titulo_libro: Informática y desarrollo : 	Autor: Cline, William R	Subtitulo_libro: política comercial e industrial en la Argentina, Brasil y México.	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: 1987.	biblioitemnumber: 73
Titulo_libro: Salarios.	Autor: Dobb, Maurice	Subtitulo_libro: sin datos	Cantidad ejemplares: 5	Edicion: 3ra.ed.	Año_publicacion: 1973.	biblioitemnumber: 74
Titulo_libro: Curso de derecho civil.	Autor: Nieto Blanc, Ernesto E	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: 1981.	biblioitemnumber: 75
Titulo_libro: El gobierno de los pueblos : 	Autor: Chianelli, Trinidad Delia	Subtitulo_libro: 1862-1868.	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1980.	biblioitemnumber: 76
Titulo_libro: Tablas financieras.	Autor: Dagna, Conrado	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1978.	biblioitemnumber: 77
Titulo_libro: Los problemas, objetivos y subjetivos de la consolidación de la democracia.	Autor: Delich, Francisco	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1988.	biblioitemnumber: 78
Titulo_libro: Impuesto de sellos : 	Autor: Diaz, Vicente Oscar	Subtitulo_libro: Aspectos económicos y jurídicos.	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: 1976.	biblioitemnumber: 79
Titulo_libro: Computación para contadores y empresarios.	Autor: Di Pasquale, Pascual D.	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: 1979.	biblioitemnumber: 80
Titulo_libro: La consolidación de balances.	Autor: Dupuis, Michel	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1969.	biblioitemnumber: 81
Titulo_libro: Diagrama comprarativo : 	Autor: Feijoo, Eudaldo	Subtitulo_libro: normas contables.	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1980.	biblioitemnumber: 82
Titulo_libro: Mercaderes y banqueros de la edad media.	Autor: Le Goff, Jacques	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 7ma.ed.	Año_publicacion: 1975.	biblioitemnumber: 83
Titulo_libro: Lecciones de programación no lineal.	Autor: Fernandez Pol, Jorge Eduardo	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: 1980.	biblioitemnumber: 84
Titulo_libro: Apogeo y crisis del liberalismo : 	Autor: Ferrari, Gustavo	Subtitulo_libro: 1886-1890.	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1978.	biblioitemnumber: 85
Titulo_libro: Del fraude a la soberanía popular : 	Autor: Ferrero, Roberto A.	Subtitulo_libro: 1938-1946.	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1980.	biblioitemnumber: 86
Titulo_libro: Análisis de estados contables.	Autor: Fowler Newton, Enrique	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1990.	biblioitemnumber: 87
Titulo_libro: Contabilidad básica.	Autor: Fowler Newton, Enrique	Subtitulo_libro: sin datos	Cantidad ejemplares: 20	Edicion: 1ra.ed.	Año_publicacion: 1982.	biblioitemnumber: 88
Titulo_libro: Contabilidad con inflación.	Autor: Fowler Newton, Enrique	Subtitulo_libro: sin datos	Cantidad ejemplares: 3	Edicion: 1ra.ed.	Año_publicacion: 1980.	biblioitemnumber: 89
Titulo_libro: El plan de cuentas como sistema integral.	Autor: Fresco, Juan Carlos	Subtitulo_libro: sin datos	Cantidad ejemplares: 9	Edicion: 1ra.ed.	Año_publicacion: 1978.	biblioitemnumber: 90
Titulo_libro: Concursos : 	Autor: Fassi, Santiago C	Subtitulo_libro: comentario exegético de la Ley 19551 con las reformas de la Ley 22.917 y jurisprudencia actualizada.	Cantidad ejemplares: 1	Edicion: 3ra.ed.	Año_publicacion: 1989.	biblioitemnumber: 91
Titulo_libro: Verificación de créditos.	Autor: Galindez, Oscar A.	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: 1990.	biblioitemnumber: 92
