autor;titulo_libro;subtitulo_libro;cantidad_ejemplar;libro_edicion;año_publicacion;biblioitemnumber
;"La promoción de la inversión industrial en la Argentina.";;1;1ra.ed.;1988.;221
;"Informe sobre el desarrollo mundial 1978.";;1;1ra.ed.;1978.;222
"Ferrer, Aldo";"La economía de la Argentina : ";"las etapas del desarrollo y problemas actuales.";3;1ra.ed.;1963.;223
"Fast, Howard";"Los inmigrantes.";;1;1ra.ed.;1979.;224
"Nissen, Ricardo Augusto";"Ley de Sociedades Comerciales : ";"artículos 1 al 162.";3;1ra.ed.;1982.;225
"Raimondi, Carlos A.";"Legislación del trabajo.";;2;1ra.ed.;1952.;226
"Raimondi, Carlos A.";"Enciclopedia de contabilidad y administración : ";"control y organización de empresas.";2;3ra.ed.;1951.;227
"Ferrer, Aldo";"La economía de la Argentina : ";"las etapas del desarrollo y problemas actuales.";2;12da.ed.;1977.;228
"Martinez, Daniel";"El I.V.A. generalizado.";;1;1ra.ed.;1990.;229
;"Diccionario Kapelusz.";;1;1ra.ed.;[199-].;230
"Friedman, Georges";"Tratado de sociología del trabajo.";;11;1ra.ed.;1971.;231
"Friedman, Georges";"Tratado de sociología del trabajo.";;11;1ra.ed.;1971.;232
"Grupe, Héctor J. C";"Economía del transporte y la energía.";;10;1ra.ed.;1971.;233
"Luparia, Carlos H";"Régimen del trabajo rural : ";"doctrina y legislación.";3;1ra.ed.;1981.;234
"Corte, Néstor T.";"El nuevo sistema previsional : ";"ley 24241 comentada.";2;1ra.ed.;1993.;235
"Guarnaschelli, Juan Carlos";"Ganancias : ";"curso integral de liquidación. Primera parte.";2;1ra.ed.;1993.;236
"Dominguez, Luis Martín";"Costos por procesos y estándares.";;17;1ra.ed.;1979.;237
;"Sociedades Comerciales : ";"ley 19550 exposición de motivos.";1;1ra.ed.;1971.;238
;"Primer Congreso Tributario.";;1;1ra.ed.;1993.;239
;"Segundo Congreso Nacional de Informática y Teleinformática.";;2;1ra.ed.;1984.;240
;"Anuario 1992 : ";"publicaciónes de trabajos docentes.";1;1ra.ed.;1993.;241
"Ocon, María Mercedes";"La estrella del sur.";;1;1ra.ed.;1985.;242
"White, Max";"En la luz deslumbrante : ";"vida de Goya.";1;1ra.ed.;1948.;243
;"Premio Municipalidad de Córdoba 1982 : ";teatro.;1;1ra.ed.;1982.;244
"Chapman, Hester W.";"Eugenia de Montijo.";;1;1ra.ed.;1963.;245
"Dorfman, Miguel";"Argentina un país para invertir y crecer.";;2;5ta.ed.;1993.;246
"Dorfman, Miguel";"Argentina en crecimiento : ";"La reforma económica y sus resultados 1989-1992.";6;1ra.ed.;1992.;247
;"Sistema ISO 9000 de gestión de la calidad : ";"directrices para las empresas de países en desarrollo.";1;1ra.ed.;1993.;248
;"Congreso Nacional de Profesionales en Ciencias Económicas.";;1;1ra.ed.;1990.;249
;"Jornadas Universitarias de Contabilidad.";;1;1ra.ed.;1991.;250
"Fabris, Ricardo";"Ejemplos de aplicación de las RT 8 y 9 : ";"estados contables, anexos y notas.";2;1ra.ed.;1988.;251
;"Colección de sociedades comerciales : ";"leyes y comentarios.";1;1ra.ed.;[199-].;252
;"Colección de sociedades comerciales : ";"leyes y comentarios.";1;1ra.ed.;[199-].;253
;"Colección de sociedades comerciales : ";"leyes y comentarios.";1;1ra.ed.;[199-].;254
;"Colección de sociedades comerciales : ";"leyes y comentarios.";1;1ra.ed.;[199-].;255
"Pienovi, Aroldo Adolfo";"Metodología operativa para el análisis y determinación de estructuras de la organización : ";"un enfoque a nivel teórico práctico.";4;1ra.ed.;1976.;256
"Amadasi, Enrique";"Mapa de la pobreza en la Argentina.";;6;1ra.ed.;1994.;257
"Loring Allen, Robert";"La guerra económica soviética.";;1;1a.ed.;1962.;258
"Sánchez Masi, Luis";"El mercado de capitales en el Paraguay.";;1;1ra.ed.;1972.;259
"Leiserson, Sansón";"La moneda.";;1;1a.ed.;1944.;260
"Labougle, Alfredo";"La actual situación económica y financiera de la Nación Argentina.";;1;1ra.ed.;1967.;261
"Buchanan, Norman S.";"Introduccion al desarrollo económico.";;1;"1ra. ed.";1953.;262
"Sutch, W.B.";"Recent economic changes in New Zealand.";;1;1ra.ed.;1936.;263
"Bowles, Chester";"Hacia una sociedad justa.";;1;1a.ed.;1963.;264
"Villalobos Domínguez, C.";"Bases y método para la aprobación social de la tierra.";;1;1a.ed.;1932.;265
"Gambs, John S.";"Hombre, dinero y bienes.";;1;1a.ed.;1958.;266
"Dorfman, Adolfo";"La economía de la región norpatagónica y perspectivas para su futuro desarrollo integral.";;1;1ra.ed.;1960.;267
"Dobb, Maurice";"Introducción a la economía.";;1;1a.ed.;1961.;268
"Rolfe, Sidney E.";"Sistema monetario internacional : ";"desarrollo y perspectivas.";1;1a.ed.;1976.;269
"Guitart, P. Ernesto";"Nociones de economía social.";;1;2da.ed.;1917.;270
"Lopez Gento, José";"El hombre y la riqueza : ";"síntesis comparativa de doctrinas económicas.";1;1a.ed.;1943.;271
"Ryan, William T";"Principios de comercialización.";;2;1ra.ed.;1974.;272
"Hawtrey, R.G.";"La restauración económica del mundo de la postguerra.";;1;1a.ed.;1948.;273
"Rebeollo Paz, León";"Control de los gastos públicos : ";"atribuciones del Tribunal de Cuentas de la Nación.";1;1a.ed.;[199-].;274
"Antille, Armando G.";"Cambios, monedas y bancos.";;1;1a.ed.;1935.;275
"Mundell, Robert A.";"El hombre y la economía.";;1;1a.ed.;1968.;276
"Arnaud,Aldo A.";"Mercado cambiario e inflación : ";"Argentina, 1967-71.";1;1a.ed.;1975.;277
;"Organización Monetaria de la Comunidad Económica Europea.";;1;1a.ed.;1974.;278
