LISTADO DE LIBROS DE LA BIBLIOTECA DE LA FACULTAD DE CIENCIAS ECONOMICAS		
Autor	Titulo de libro	Cant Ejemplar
Di Marco, Luis Eugenio	En la búsqueda del hombre :	3
Di Marco, Luis Eugenio	En la búsqueda del hombre :	3
Di Fenizio, Ferdinando	Economía política.	25
Diulio, Eugene A	Teoría y problemas de macroeconomía.	5
Ledesma, Joaquín Rafaél	Cinco años de política económica :	1
Lange, Oskar	Introducción a la economía cibernética.	1
Ferguson, C. E	Teoría microeconomica.	4
Gonzalez, Norberto	Introducción al estudio del ingreso nacional.	1
Guaresti, Juan José	Economía política :	6
Guaresti, Juan José	Economía política :	3
Guaresti, Juan José	Economía política :	3
Guaresti, Juan José	Economía política :	5
Guaresti, Juan José	Economía política :	5
Hansen, Alvin H	Guía de Keynes.	1
Hansen, Alvin H	Guía de Keynes.	3
Lago, Armando V	Temas de economía política.	1
Koivisto, William A	Principios y problemas de economía moderna.	1
Heilbroner, Robert L.	Comprensión de la macroeconomía.	4
Guaresti, Juan José	Economía política :	1
Due, John F	Análisis económico.	1
Due, John F	Análisis económico.	2
Hicks, John	Causalidad en economía.	2
	Economía no registrada.	2
Marchal, André	Metodología de la ciencia económica :	2
Marshall, Alfred	Principios de economía.	1
Marshall, Alfred	Principios de economía.	1
Marshall, Alfred	Principios de economía.	4
Pavesi, Pierre	Economía :	22
Piettre, André	Las tres edades de la economía.	2
Ricardo, David	Principios de economía política y de tributación.	1
Dagnino Pastore, José María	El nuevo look de la economía argentina.	1
	Anales de la Asociación Argentina de Economía Política :	1
	Anales de la Asociación Argentina de Economía Política :	2
	Anales de la Asociación Argentina de Economía Política :	1
	Anales de la Asociación Argentina de Economía Política :	1
	Anales de la Asociación Argentina de Economía Política :	1
	Anales de la Asociación Argentina de Economía Política :	1
	Anales de la Asociación Argentina de Economía Política :	1
	Anales de la Asociación Argentina de Economía Política :	1
	Anales de la Asociación Argentina de Economía Política :	1
	Anales de la Asociación Argentina de Economía Política :	1
	Anales de la Asociación Argentina de Economía Política :	1
	Anales de la Asociación Argentina de economía política :	1
	Anales de la Asociación Argentina de economía política :	1
	Anales de la Asociación Argentina de Economía Política :	1
	Anales de la Asociación Argentina de economía política :	1
	Anales de la Asociación Argentina de economía política :	1
	Anales de la Asociación Argentina de economía política :	1
	Anales de la Asociación Argentina de economía política :	1
Zamora, Francisco	Tratado de teoría económica.	2
Zamora, Francisco	Tratado de teoría económica.	4
Zamora, Francisco	Tratado de teoría económica.	6
Zamora, Francisco	Tratado de teoría económica.	5
	Síntesis socioeconómica.	1
Vito, Francisco	Economía política.	17
Sirkin, Gerald	Introducción a la teoría macroeconómica.	2
Sirkin, Gerald	Introducción a la teoría macroeconómica.	11
Ferguson, John M	Historia de la economía.	18
Ferguson, John M	Historia de la economía.	1
Zalduendo, Eduardo A	Breve historia del pensamiento económico.	10
Stigler, George J.	Historia del pensamiento económico.	1
Schumpeter, Joseph Alois	Historia del análisis económico.	6
Schumpeter, Joseph Alois	Historia del análisis económico.	6
Cole, G.D.H.	Introducción a la historia económica.	1
Denis, Henri	Historia del pensamiento económico.	1
Stonier, Alfred W.	Manual de tería económica.	26
Silva De Mejia, Luz María	Exámen de la situación económica de México :	2
Napoleoni, Claudio	El pensamiento económico del siglo XX.	2
	Simplificación de trabajo para aumentar la productividad.	1
Jaime, José Carlos	Los intermediarios financiero-monetarios de la empresa.	2
Quintana, Humberto Leopoldo	Introducción a la economía jujeña.	24
Di Tella, Guido	Las etapas del desarrollo económico argentino.	9
Lajugie, Joseph	Los sistemas económicos.	1
Lajugie, Joseph	Los sistemas económicos.	1
Lajugie, Joseph	Los sistemas económicos.	2
Lajugie, Joseph	Los sistemas económicos.	7
Echegaray Simonet, Alfredo	Evolución y perspectiva de la cooperación financiera en América Latina.	4
Furtado, Celso	El desarrollo económico :	2
Furtado, Celso	El desarrollo económico :	2
Le Goff, Jacques	Mercaderes y banqueros de la edad media.	3
Dagum, Camilo	Introducción a la econometría.	5
Dorfman, Miguel	Argentina u país para invertir y crecer.	1
Alemann, Roberto T.	Sistemas económicos.	1
Moutuschi, Luis	El poder económico de los sindicatos.	1
Letizia, Francisco	Fundamentación filosófica de las doctrinas económicas.	1
Altamira Gigena, R.E.	Ley de contrato de trabajo comentado, anotada y concordada.	3
Altamira Gigena, R.E.	Ley de contrato de trabajo comentado, anotada y concordada.	3
	Curso para inversores.	1
	Curso para inversores.	17
	Compendium para inversores extranjeros.	1
Jauregui, Román Guillermo	Inversiones extranjeras.	3
Cavagna Martínez, Ildefonso F.	La moneda y los bancos.	1
	El Banco Central de La República Argentina en su 50 aniversario 1935-1985.	1
Halm, George N	Economía del dinero y de la banca.	1
Aliber, Robert Z	El juego internacional del dinero.	2
Shaw, Bollini	Manual de operaciones bancarias y financieras.	1
Raimondi, Carlos A.	Análisis económico financiero de balances.	1
Vilaseca Marcet, José María	La banca central y el estado.	1
Messineo, Francesco	Operaciones de bolsa y de banca :	1
Saldaña Álvarez, Jorge	Manual del funcionamiento bancario :	1
Dalton, Hugh	Principios de finanzas públicas.	1
Rodríguez, Alfredo C	Técnica y organización bancarias :	4
Hunt, Pearson	Financiación básica de los negocios :	1
Hunt, Pearson	Financiación básica de los negocios :	1
Hunt, Pearson	Financiación básica de los negocios :	1
	Inversión, crecimiento y tasas de interés en la economía argentina.	1
Ahumada, Guillermo	Tratado de finanzas públicas.	4
Ahumada, Guillermo	Tratado de finanzas públicas.	4
Dublin, Jack	Uniones de crédito :	1
Croteau, John T	La unión de crédito y su economía.	1
Vacarezza, Juan Carlos	Manual administrativo contable, impositivo y legal para cooperativas.	2
Olarra Jimenez, Rafaél	Evolución monetaria argentina.	1
Einaudi, Luigi	Principios de hacienda pública.	1
	Diagnóstico y alternativas de desarrollo rural para un área de la Puna Jujeña.	1
	Lineamientos de una estrategia de crecimiento económico 1985-1989.	1
Gastaldi, Santiago	Empleo en la Argentina :	1
Bertora, Héctor Raúl	Temas contables y financieros.	2
Bertora, Héctor Raúl	Temas contables y financieros.	1
Forino, Sabatino A.	El desarrollo económico y la política fiscal.	4
Due, John F	Análisis económico de los impuestos.	3
Due, John F	Análisis económico de los impuestos :	2
Due, John F	Análisis económico de los impuestos.	5
Due, John F	Análisis económico de los impuestos y del sector público.	2
Villegas, Héctor Belisario	Curso de finanzas, derecho financiero y tributario.	2
Villegas, Héctor Belisario	Curso de finanzas, derecho financiero y tributario.	3
Villegas, Héctor Belisario	Curso de finanzas, derecho financiero y tributario.	3
Villegas, Héctor Belisario	Curso de finanzas, derecho financiero y tributario.	4
Wierna, Gustavo Enrique	El control público :	1
Alemann, Juan E.	Una política de ingresos para la Argentina.	1
Martín, José María	Ciencia de las finanzas públicas.	4
	Código Civil y Comercial de la Nación :	2
Iturrioz, Eulogio	Curso de finanzas públicas.	14
Jarach, Dino	Finanzas públicas :	5
Difrieri, Jorge A.	Monedas y bancos en la República Argentina.	7
Atchabahian, Adolfo	Curso de contabilidad pública.	3
Matocq, Eugenio Andrés	Tratado de contabilidad pública.	5
Matocq, Eugenio Andrés	Tratado de contabilidad pública.	2
Musgrave, Richard A.	Teoría de la hacienda pública.	12
Halperin, Ricardo A.	Los impuestos y la inflación.	2
	Ensayos sobre administración política y derecho tributarios.	1
Minnicelli, Alessandra	Eficacia :	4
García Belsunce, Horacio A	Derecho tributario penal.	3
Giuliani Fonrouge, Carlos M	Impuesto a los ingresos brutos.	6
	Presupuestos provinciales y presupuesto nacional distribuidos por provincias :	1
Ale, Miguel Ángel	Los contratos en la hacienda pública, ley de contabilidad pública(Doctrinas. Jurisprudencia.Reglamentación Actualizada)	4
Wendy, Lilian N. G. De	Impuesto selectivo al consumo :	3
Celdeiro, Ernesto Carlos	Esquemas de procedimiento tributario.	3
Arce, Horacio	La participación de la imposición directa e indirecta en la política fiscal.	4
Borgonovo, Félix Juan	El federalismo fiscal a partir de la reforma constitucional.	2
Grun, Ernesto	Manual de regularización impositiva :	1
García Vizcaino, José	La deuda pública nacional.	2
García, Ricardo	Impuesto municipal a las actividades lucrativas :	2
García Vizcaino, Catalina	"Los tributos frente al federalismo; puntos de partida y recomendaciones para la reforma constitucional."	2
	Legislación impositiva 1981.	1
	Legislación impositiva 1981.	1
	Impuestos nacionales 1989 :	1
	Impuestos nacionales 14 :	4
	Impuestos nacionales 16 :	6
	Impuestos nacionales 15 :	5
	Leyes y decretos impositivos :	1
	Leyes y decretos impositivos.	5
Lascano, Marcelo R	Impuestos año 1984.	1
Lascano, Marcelo R.	Impuestos año 1984.	1
Lascano, Marcelo R.	Impuestos año 1986.	1
Lascano, Marcelo R	Impuestos año 1986.	1
Lascano, Marcelo R	Impuestos año 1987.	1
Lascano, Marcelo R	Impuestos año 1987.	1
Giuliani Fonrouge, Carlos M	Repertorio impuestos 1973/1979.	1
Giuliani Fonrouge, Carlos M	Impuestos año 1981.	1
Giuliani Fonrouge, Carlos M	Impuestos año 1980.	1
Giuliani Fonrouge, Carlos M	Impuestos año 1982.	1
Giuliani Fonrouge, Carlos M	Impuestos año 1980	1
Fowler Newton, Enrique	Moderno tratamiento contable a los impuestos a las ganancias y las ventas.	4
Scotti, Nicolás Juan	El proceso ante el tribunal fiscal de la Nación.	5
	El nacimiento de la obligación tributaria :	2
Fourcade, Pedro D	Manual alfabético del impuesto a los beneficios extraordinarios.	1
Massad, Leonel R	Seminario teórico práctico sobre la reforma tributaria.	5
López Agnetti, Elías	Perfiles del proceso en el tribuinal fiscal de la Nación.	2
Rossen, Eduardo Augusto	Estructura del procedimiento impositivo.	4
Kantor, Simón	Manual alfabético de impuesto de sellos.	1
Wilhelm, Salomón S	Recursos municipales.	5
	Control impositivo :	5
Martín, José María	Derecho tributario argentino.	3
López Aguado, Antonio	Los impuestos y la constitucion.	2
Lema, Andrés E	Manual impositivo para explotaciones agropecuarias	3
Lascano, Marcelo R	Impuesto al patrimonio :	4
Basagaña, Eduardo J	Precios vs. costos.	1
Boulding, Kenneth E.	Análisis económico :	1
Boulding, Kenneth E.	Análisis económico :	7
Jones, Clarence	Geografía económica.	16
Jones, Clarence	Geografía económica.	2
Lerner, Icael	Geografía económica general.	11
Bosque, Joaquín	Geografía económica general.	1
Brunengo, Pedro	Curso de geografía económica general, instituciones de la geografía económica :	5
Beveraggi Allende, Walter	El ocaso del patrón de oro.	1
Aldabe, Hernán	Crédito bancario de largo plazo para las empresas del sector privado, posibilidades actuales y medidad necesarias para su expansión.	1
Cupelli, Rodolfo José	Organización de créditos y cobranzas.	1
	Práctica impositiva.	4
Lavia, Osvaldo N	Generalización del IVA :	1
Reig, Enrique Jorge	El impuesto al valor agregado.	6
Cedrola, Lorenzo D.	Geografía económica general y Argentina.	3
Dozo, Servando Ramón Manuel	Tratado de geografía económica :	12
Arnolds, Alfonso	Geografía económica argentina.	8
Arnolds, Alfonso	Geografía Politica y económica de la Republica Argentina.	3
Mikesell, Raymond F.	La naturaleza de la función de ahorro en los países en desarrollo.	1
Di Marco, Luis Eugenio	La Argentina contemporánea.	4
Dagnino Pastore, Lorenzo	Curso de geografía económica Argentina.	6
Defelippe, Bruno A.	Geografía económica Argentina.	2
Panettieri, José	Síntesis histórica del desarrollo industrial argentino.	7
Vispo, Adolfo	Difusión de tecnologías de punta en Agentina :	1
Rottin, Luciano	Panorama argentino.	1
Mariluz Urquijo, José M.	Estado e industria 1810-1862.	5
Treber, Salvador	La economía argentina :	11
Veblen, Thorstein	Teoría de la empresa de negocios.	3
	Manual de proyectos de desarrollo económico :	3
Garcia Vizcaino, José	Tratado de política económica argentina.	1
Garcia Vizcaino, José	Tratado de política económica argentina.	1
Morera, Ventura	Agricultura e industria.	1
Bobbio, Norberto	El problema del positivismo jurídico.	1
	Estudios en honor de Pedro J.Frías.	1
	Digesto Judicial.	3
	Digesto Judicial.	3
	Digesto Judicial.	3
	Digesto Judicial.	3
Morris, Clarence	La justificación del trabajo.	1
Salzmann, Juan Jorge	Economía de guerra.	1
Ambrosioni, Carlos Ernesto	Lecciones de derecho romano.	1
Kuhl, Guillermo	Una política industrial argentina :	1
Giuliani Fonrouge, Carlos M.	Imposición al capital.	5
Roulet, Jorge Esteban	El estado necesario.	2
Taborda Caro, María Susana	Derecho agrario.	1
Villey, Michel	Métodos, fuentes y lenguaje jurídicos.	2
Bianchi, Alberto	Control de constitucionalidad :	1
Bidart Campos, German J	El derecho constitucional del poder.	1
Bidart Campos, German J	El derecho constitucional del poder.	1
	Diario de sesiones de la Convención Provincial Constituyente :	1
Busso, Eduardo B.	Código civil anotado.	3
Busso, Eduardo B.	Código civil anotado.	3
Busso, Eduardo B.	Código civil anotado.	3
Busso, Eduardo B.	Código civil anotado.	3
Busso, Eduardo B.	Código civil anotado.	3
	Tercer Congreso Nacional de Derecho Civil.	1
	El crecimiento desigual en centroamérica (1950-2000)	1
Macri, Francisco	La necesidad de una política industrial en la Argentina.	1
Reyes, Rafaél Hugo	Regalía minera.	2
Alterini, Atilio Aníbal	Derecho privado :	1
Frugoni Rey, Guillermo F.	Derecho privado :	2
Frugoni Rey, Guillermo F.	Derecho privado :	1
Frugoni Rey, Guillermo F.	Derecho privado :	2
Frugoni Rey, Guillermo F.	Derecho privado :	6
Borda, Guillermo A	Manual de derecho civil :	1
Borda, Guillermo A	Tratado de derecho civil :	1
Borda, Guillermo A.	Tratado de derecho civil :	1
Borda, Guillermo A	Tratado de derecho civil :	2
Borda, Guillermo A	Tratado de derecho civil :	2
Borda, Guillermo A	Manual de obligaciones.	5
Borda, Guillermo A.	Manual de obligaciones.	2
Borda, Guillermo A	Manual de contratos.	5
Borda, Guillermo A	Manual de contratos.	1
	Ley 19551 concursos (comerciales y civiles)	1
Borda, Guillermo A	Manual de contratos.	2
Borda, Guillermo A	Tratado de derecho civil :	1
Borda, Guillermo A	Tratado de derecho civil :	1
Borda, Guillermo A	Tratado de derecho civil :	1
Borda, Guillermo A	Tratado de derecho civil :	1
Borda, Guillermo A	Tratado de derecho civil :	1
Borda, Guillermo A	Tratado de derecho civil :	1
Alterini, Atilio Aníbal	Curso de obligaciones.	2
Alterini, Atilio Aníbal	Curso de obligaciones.	2
Wayar, Ernesto Clemente	Tratado de la mora.	11
Dassen, Julio	Manual de derechos reales.	1
	Unificación de la Legislación Civil y Comercial.	1
La Faille, Héctor	Tratado de las obligaciones.	5
La Faille, Héctor	Tratado de las obligaciones.	5
Valiente Noailles, Luis	Derechos reales.	3
Racciatti, Hernán	Propiedad por pisos o departamentos.	3
Bidart Campos, German J	Manual de derecho constitucional.	8
Bidart Campos, German J	Manual de derecho constitucional.	1
Bidart Campos, German J	Manual de derecho constitucional.	1
Tagle Achaval, Carlos	Derecho constitucional.	10
Arauz Castex, Manuel	Derecho civil.	10
Arauz Castex, Manuel	Derecho civil.	10
Cordomi, Manuel L	Introducción a la teoría de los precios.	32
Stigler, George J	La teoría de los precios.	12
Llambias, Jorge Joaquin	Compendio de derecho civil :	5
Barreira Delfino, Eduardo	Leasing :	1
	Unificación civil y comercial :	1
Bercaitz, Miguel Ángel	Teoría general de los contratos administrativos.	1
Carlevari, Isidro J.F.	La Argentina :	2
Carlevari, Isidro J.F.	La Argentina :	5
Carlevari, Isidro J.F.	La Argentina :	5
Carlevari, Isidro J.F.	La Argentina :	11
Carlevari, Isidro J.F.	La Argentina :	11
Rossini, Mario P.F	Nuevo régimen de arrendamiento y aparcerías rurales :	1
	Primer Congreso de Derecho Societario.	1
Halperin, Isaac	Curso de derecho comercial.	1
Halperin, Isaac	Curso de derecho comercial.	3
Garrigues, Joaquín	Hacia un nuevo derecho mercantil :	1
Floriani, Humberto	Nociones de comercio y derecho mercantil.	1
Floriani, Humberto	Documentación mercantil, teneduría de libros, cuenta corriente mercantil.	1
